"state_name","district_label","district_number","representative","party","total_applicants","total_funding","funding_per_applicant","n_zips","disaster_numbers","NAMELSAD","STATEFP"
"Florida","Florida District 4",4,"Aaron Bean","Republican",20593,10503726.76,510.062970912446,30,"4673,4675,4680,4734,4806,4828,4834,4844","Congressional District 4","12"
"Florida","Florida District 5",5,"John Rutherford","Republican",10415,3904743.76,374.915387421988,21,"4673,4675,4680,4828,4834","Congressional District 5","12"
"Florida","Florida District 6",6,"Vacant",NA,92505,84781792.08,916.51037327712,57,"4671,4673,4675,4680,4734,4806,4828,4834","Congressional District 6","12"
"Florida","Florida District 7",7,"Cory Mills","Republican",103543,106863318.31,1032.06704760341,27,"4671,4673,4675,4680,4734,4828,4830,4834,4844","Congressional District 7","12"
"Florida","Florida District 8",8,"Mike Haridopolos","Republican",37874,20181113.78,532.848755874743,36,"4673,4675,4680,4834","Congressional District 8","12"
"Florida","Florida District 9",9,"Darren Soto","Democratic",95586,54108685.56,566.073332496391,24,"4673,4675,4734,4828,4834","Congressional District 9","12"
"Florida","Florida District 10",10,"Maxwell Frost","Democratic",96252,60399120.39,627.510289552425,25,"4671,4673,4675,4734,4834,4844","Congressional District 10","12"
"Florida","Florida District 11",11,"Daniel Webster","Republican",66522,27746759.59,417.106514987523,39,"4671,4673,4675,4680,4709,4734,4828,4834,4844","Congressional District 11","12"
"Florida","Florida District 12",12,"Gus Bilirakis","Republican",111587,176284217.99,1579.79171399894,45,"4673,4675,4734,4806,4828,4834","Congressional District 12","12"
"Florida","Florida District 13",13,"Anna Paulina Luna","Republican",232755,273317063.41,1174.26935365513,39,"4671,4673,4675,4734,4806,4828,4834","Congressional District 13","12"
"Florida","Florida District 14",14,"Kathy Castor","Democratic",289122,256506126.15,887.18992726254,29,"4673,4675,4734,4806,4828,4834,4844","Congressional District 14","12"
"Florida","Florida District 15",15,"Laurel Lee","Republican",182609,95073853.19,520.641661637707,29,"4671,4673,4675,4734,4806,4828,4834,4844","Congressional District 15","12"
"Florida","Florida District 16",16,"Vern Buchanan","Republican",241646,202862225.68,839.501691234285,33,"4673,4675,4734,4806,4828,4830,4834,4844","Congressional District 16","12"
"Florida","Florida District 17",17,"Greg Steube","Republican",255141,406585330.02,1593.57112349642,42,"4673,4675,4734,4806,4828,4834,4844","Congressional District 17","12"
"Florida","Florida District 18",18,"Scott Franklin","Republican",155050,113466112.8,731.803371815544,55,"4671,4673,4675,4734,4751,4806,4828,4834","Congressional District 18","12"
"Florida","Florida District 19",19,"Byron Donalds","Republican",210468,457364508.41,2173.08335903795,38,"4671,4673,4675,4734,4828,4834","Congressional District 19","12"
"Florida","Florida District 20",20,"Sheila Cherfilus-McCormick","Democratic",25931,14218057.92,548.303494658902,23,"4673,4675,4709,4828,4834","Congressional District 20","12"
"Florida","Florida District 21",21,"Brian Mast","Republican",24621,11930780.78,484.57742496243,32,"4673,4675,4734,4834,4844","Congressional District 21","12"
"Florida","Florida District 22",22,"Lois Frankel","Democratic",20048,2556095.17,127.498761472466,24,"4671,4673,4675,4834","Congressional District 22","12"
"Florida","Florida District 23",23,"Jared Moskowitz","Democratic",4630,2340348.9,505.474924406047,26,"4673,4675,4709,4828,4834","Congressional District 23","12"
"Florida","Florida District 24",24,"Frederica Wilson","Democratic",849,395492.82,465.83371024735,21,"4673,4675,4709,4734,4834","Congressional District 24","12"
"Florida","Florida District 25",25,"Debbie Wasserman Schultz","Democratic",9454,25402779.67,2686.98748360482,20,"4673,4675,4709,4834","Congressional District 25","12"
"Florida","Florida District 26",26,"Mario Díaz-Balart","Republican",28587,31819702,1113.08293979781,24,"4673,4675,4709,4734,4828,4834","Congressional District 26","12"
"Florida","Florida District 27",27,"María Elvira Salazar","Republican",257,10198.37,39.682373540856,24,"4673,4675,4734,4834,4844","Congressional District 27","12"
"Florida","Florida District 28",28,"Carlos Giménez","Republican",786,333176.94,423.889236641221,25,"4673,4675,4709,4834","Congressional District 28","12"
"Georgia","Georgia District 1",1,"Buddy Carter","Republican",94913,50318415.93,530.153044683025,67,"4738,4821,4830","Congressional District 1","13"
"Georgia","Georgia District 2",2,"Sanford Bishop","Democratic",2022,1095407.63,541.74462413452,14,"4611,4685,4738,4830","Congressional District 2","13"
"Georgia","Georgia District 3",3,"Brian Jack","Republican",5491,4058519.57,739.122121653615,23,"4611,4685,4830","Congressional District 3","13"
"Georgia","Georgia District 4",4,"Hank Johnson","Democratic",803,358953.47,447.015529265255,9,"4611,4671,4685,4830","Congressional District 4","13"
"Georgia","Georgia District 5",5,"Nikema Williams","Democratic",7721,5071339.19,656.824140655355,28,"4685,4798,4830","Congressional District 5","13"
"Georgia","Georgia District 6",6,"Lucy McBath","Democratic",252,132974.7,527.677380952381,6,"4830","Congressional District 6","13"
"Georgia","Georgia District 7",7,"Rich McCormick","Republican",76,25448.32,334.846315789474,6,"4673,4830","Congressional District 7","13"
"Georgia","Georgia District 8",8,"Austin Scott","Republican",93577,84645604.24,904.555651923015,75,"4685,4734,4738,4830,4834","Congressional District 8","13"
"Georgia","Georgia District 9",9,"Andrew Clyde","Republican",463,277933.87,600.289136069114,14,"4675,4829,4830","Congressional District 9","13"
"Georgia","Georgia District 10",10,"Mike Collins","Republican",5751,3081128.99,535.755345157364,22,"4685,4830","Congressional District 10","13"
"Georgia","Georgia District 11",11,"Barry Loudermilk","Republican",3,300,100,3,"4830","Congressional District 11","13"
"Georgia","Georgia District 12",12,"Rick Allen","Republican",202282,155763845.93,770.033151392611,93,"4821,4829,4830","Congressional District 12","13"
"Georgia","Georgia District 13",13,"David Scott","Democratic",2207,1034640.98,468.799719075668,9,"4685,4830","Congressional District 13","13"
"Georgia","Georgia District 14",14,"Marjorie Taylor Greene","Republican",1,0,0,1,"4671","Congressional District 14","13"
"Hawaii","Hawaii District 1",1,"Ed Case","Democratic",30,4500,150,13,"4715,4724","Congressional District 1","15"
"Hawaii","Hawaii District 2",2,"Jill Tokuda","Democratic",17368,65669264.05,3781.04928892216,27,"4724","Congressional District 2","15"
"Idaho","Idaho District 1",1,"Russ Fulcher","Republican",0,0,NA,0,NA,"Congressional District 1","16"
"Idaho","Idaho District 2",2,"Mike Simpson","Republican",0,0,NA,0,NA,"Congressional District 2","16"
"Illinois","Illinois District 1",1,"Jonathan Jackson","Democratic",34977,75820637.42,2167.72843354204,21,"4728,4749,4819","Congressional District 1","17"
"Illinois","Illinois District 2",2,"Robin Kelly","Democratic",73863,201414967.62,2726.87228544738,29,"4673,4728,4749,4819","Congressional District 2","17"
"Illinois","Illinois District 3",3,"Delia Ramirez","Democratic",13177,53731732.44,4077.69085831373,10,"4671,4728,4749,4819","Congressional District 3","17"
"Illinois","Illinois District 4",4,"Chuy García","Democratic",20682,76589995.57,3703.21997727493,19,"4728,4749,4819","Congressional District 4","17"
"Illinois","Illinois District 5",5,"Mike Quigley","Democratic",1709,3926352.98,2297.45639555295,18,"4728,4749,4819","Congressional District 5","17"
"Illinois","Illinois District 6",6,"Sean Casten","Democratic",4246,10160583.3,2392.97769665568,25,"4728,4749,4819","Congressional District 6","17"
"Illinois","Illinois District 7",7,"Danny Davis","Democratic",22016,68619976.8,3116.82307412791,29,"4728,4749,4819","Congressional District 7","17"
"Illinois","Illinois District 8",8,"Raja Krishnamoorthi","Democratic",304,425378.52,1399.27144736842,11,"4728,4749,4819","Congressional District 8","17"
